timestamp,object_id,plate_text,vehicle_type,direction,city,engine_size,kana
2025-10-06 14:05:42,01,,car,in,,,
2025-10-06 14:05:46,02( 70 ),世田谷 70 ふ,car,in,,,
2025-10-06 14:06:45,01(88-08),千菜33 88-08,car,in,,88,
2025-10-06 14:07:39,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 15:02:12,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 15:08:42,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 15:09:17,01(88-08),car,in,千葉33,88-08,,千葉
2025-10-06 15:11:53,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 15:24:12,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 15:25:03,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 15:25:49,01(88-08),car,in,千葉33,88-08,,千葉
2025-10-06 15:26:36,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 15:28:41,01(34-97),car,in,埼玉33,34-97,,埼玉
2025-10-06 15:43:30,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 16:23:54,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 16:25:00,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 16:25:33,01(88-08),car,in,千葉33,88-08,,千葉
2025-10-06 16:27:38,01(34-97),car,in,埼玉33,34-97,,埼玉
2025-10-06 16:32:28,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 16:33:38,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 16:36:20,01(29-51),car,in,宫城50,29-51,,宫城
