timestamp,object_id,vehicle_type,direction,city,kana
2025-09-08 15:48:39,01,car,in,,
2025-09-08 15:48:41,02,car,in,,
2025-09-08 15:48:42,03,car,in,,
2025-09-08 15:48:44,04,car,in,,
