timestamp,object_id,vehicle_type,direction,region_class,suffix,kana,city
2025-10-06 11:26:53,01(70-50),car,in,世田谷310,70-50,,世田谷
2025-10-06 11:57:22,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 11:58:59,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 11:59:24,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 11:59:49,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 12:01:38,01(87-81),car,in,,87-81,,
2025-10-06 12:03:18,01(87-81),car,in,,87-81,,
2025-10-06 12:06:04,01(12-46),car,in,滋賀100,12-46,,滋賀
2025-10-06 12:06:41,01(100-46),car,in,,100-46,,
2025-10-06 13:39:16,01(70-50),car,in,世田谷310,70-50,,世田谷
2025-10-06 13:39:59,01(70-50),car,in,世田谷310,70-50,,世田谷
2025-10-06 13:41:01,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 13:55:58,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 13:58:38,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-10-06 13:59:36,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 14:00:06,01(21-39),car,in,大阪551,21-39,,大阪
2025-10-06 14:04:21,01(88-08),car,in,千葉33,88-08,,千葉
