timestamp,object_id,vehicle_type,direction,city,engine_size,kana,four-digit number
2025-10-14 05:52:23,01,car,in,神户,304,は,83-74
2025-10-14 06:03:48,01,car,in,世田谷,310,ふ,70-50
2025-10-14 06:06:49,01,car,in,神户,304,は,83-74
2025-10-14 06:12:15,01,car,in,神户,582,や,77-64
2025-10-14 06:20:09,01,car,in,神户,400,ま,68-08
2025-10-14 06:21:25,01,car,in,神户,581,わ,70-76
2025-10-14 06:23:12,01,car,in,神户,504,み,44-89
2025-10-14 07:35:31,01,car,in,世田谷,310,ふ,70-50
2025-10-14 08:17:44,01,car,in,世田谷,310,ふ,70-50

