timestamp,object_id,vehicle_type,direction,region_class,suffix,kana,city
2025-09-24 15:46:57,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-24 15:48:41,01(70-50),car,in,世田谷310,70-50,,世田谷
2025-09-24 15:49:53,01(70-50),car,in,世田谷310,70-50,,世田谷
2025-09-24 15:52:04,01(70-50),car,in,世田谷310,70-50,ふ,世田谷
2025-09-24 15:54:28,01(21-39),car,in,大阪551,21-39,,大阪
2025-09-24 15:55:56,01(21-39),car,in,大版551,21-39,,大版
